benchmark,library,order,size,median,mean,stdev,unit
IntMap.getMiss,HPPC,random,50331646,92.88292451625614,92.83962605629678,0.6752197236046218,ns/op
IntMap.getMiss,JRE,highBits,514,1.71103544900355,1.7050770632875127,0.010409468385307565,ns/op
IntMap.getMiss,JRE,highBits,766,1.6079901235282557,1.611308991997095,0.010891225019058627,ns/op
IntMap.getMiss,JRE,highBits,1026,1.7239860422953341,1.728916293725615,0.017823223615820765,ns/op
IntMap.getMiss,JRE,highBits,1534,1.5801000408411792,1.5815052881560947,0.005867575282507586,ns/op
IntMap.getMiss,JRE,highBits,2050,1.6270194021189135,1.6315876491700558,0.012342184541556056,ns/op
IntMap.getMiss,JRE,highBits,3070,1.5692621262594266,1.5683740111537254,0.0034679333351197825,ns/op
IntMap.getMiss,JRE,highBits,4098,1.6623967297290996,1.6644935794792561,0.006187950811205014,ns/op
IntMap.getMiss,JRE,highBits,6142,1.6992242437339118,1.7040972426543488,0.020610370167205613,ns/op
IntMap.getMiss,JRE,highBits,8194,1.7803331583831972,1.7821230870943832,0.006176042670493024,ns/op
IntMap.getMiss,JRE,highBits,12286,1.777927414673275,1.7790977066259268,0.004444797589221335,ns/op
IntMap.getMiss,JRE,highBits,16386,1.829309983538018,1.8247537016968287,0.014949852656629114,ns/op
IntMap.getMiss,JRE,highBits,24574,1.8329102210156814,1.8279599511233033,0.012996429019203505,ns/op
IntMap.getMiss,JRE,highBits,32770,1.8449268369115033,1.8428465290828444,0.015398340397099313,ns/op
IntMap.getMiss,JRE,highBits,49150,3.9211292125105497,3.899075586941333,0.10950598968511627,ns/op
IntMap.getMiss,JRE,highBits,65538,3.8484250694697355,3.849063566977679,0.006100586264367148,ns/op
IntMap.getMiss,JRE,highBits,98302,7.228932467322885,7.228870529645504,0.0384729149525648,ns/op
IntMap.getMiss,JRE,highBits,131074,5.563371169633596,5.5593305217781674,0.058119641494037304,ns/op
IntMap.getMiss,JRE,highBits,196606,6.867762234212597,6.826615785717275,0.11171657083555218,ns/op
IntMap.getMiss,JRE,highBits,262146,9.427722189697231,9.389577499162487,0.1251025372625521,ns/op
IntMap.getMiss,JRE,highBits,393214,22.54262868173588,22.702584508609963,0.5147109350037551,ns/op
IntMap.getMiss,JRE,highBits,524290,59.07084783144397,59.13879895004893,0.42882445064272445,ns/op
IntMap.getMiss,JRE,highBits,786430,93.91847131053578,93.73115092567095,0.8480367385976079,ns/op
IntMap.getMiss,JRE,highBits,1048578,109.5475083813723,109.43037654468931,0.5159479904158693,ns/op
IntMap.getMiss,JRE,highBits,1572862,134.22087241592325,137.24451277190883,5.403616102243811,ns/op
IntMap.getMiss,JRE,highBits,2097154,158.0724074386891,157.95320711996155,8.99053321956326,ns/op
IntMap.getMiss,JRE,highBits,3145726,172.60103172022653,172.5887612249261,1.56149201760462,ns/op
IntMap.getMiss,JRE,highBits,4194306,193.92192225717565,203.29301826717503,23.805310503022884,ns/op
IntMap.getMiss,JRE,highBits,6291454,265.02696165259397,254.72126445835877,32.05287900720557,ns/op
IntMap.getMiss,JRE,highBits,8388610,313.58402049046106,303.88957383538946,30.520935212915937,ns/op
IntMap.getMiss,JRE,highBits,12582910,158.75262850569965,156.71624623105004,7.767426262016362,ns/op
IntMap.getMiss,JRE,highBits,16777218,4.3622369613727,4.388662390045388,0.27069702969645226,ns/op
